TRCID	pmid	publicationyear	firstauthor	journalbook	title
77	20553450	2010	Allaf ME	Am J Transplant	Laparoscopic live donor nephrectomy with vaginal extraction: initial report
78	20636451	2010	Lonze BE	Am J Transplant	Eculizumab, bortezomib and kidney paired donation facilitate transplantation of a highly sensitized patient without vascular access
79	20642686	2010	Massie AB	Am J Transplant	Improving distribution efficiency of hard-to-place deceased donor kidneys: Predicting probability of discard or delay
80	20659090	2010	Lonze BE	Am J Transplant	Operative start times and complications after liver transplantation
81	20670867	2010	Englesbe MJ	J Am Coll Surg	Sarcopenia and mortality after liver transplantation
82	20798250	2010	Axelrod DA	Clin J Am Soc Nephrol	The interplay of socioeconomic status, distance to center, and interdonor service area travel on kidney transplant access and outcomes
83	20977638	2010	Massie AB	Am J Transplant	Center-level patterns of indicated willingness to and actual acceptance of marginal kidneys
84	23569657	2010	Kates SL	Geriatr Orthop Surg Rehabil	Comparison of an organized geriatric fracture program to United States government data
85	20418115	2011	Kucirka LM	Cardiovasc Pathol	Survey of North American pathologist practices regarding antibody-mediated rejection in cardiac transplant biopsies
86	20822924	2011	Maleszewski JJ	Cardiovasc Pathol	Survey of current practice related to grading of rejection in cardiac transplant recipients in North America
87	21070602	2011	Englesbe MJ	Am J Transplant	Young transplant surgeons and NIH funding
88	21184921	2011	Gentry SE	Am J Kidney Dis	Kidney paired donation: fundamentals, limitations, and expansions
89	21205759	2011	Nathan H	J Clin Oncol	Understanding surgical decision making in early hepatocellular carcinoma
90	21242444	2011	Kucirka LM	Arch Surg	Provider response to a rare but highly publicized transmission of HIV through solid organ transplantation
91	21272238	2011	Segev DL	Am J Transplant	Transporting live donor kidneys for kidney paired donation: initial national results
92	21285917	2011	Dagher NN	Transplantation	Outcomes and discard of kidneys from pediatric donors after cardiac death
93	21342442	2011	Segev DL	Am J Transplant	Renal allograft survival: getting better all the time
94	21366859	2011	Kucirka LM	Am J Transplant	Risk of window period HIV infection in high infectious risk donors: systematic review and meta-analysis
95	21384505	2011	Salvalaggio PR	Liver Transpl	The interaction among donor characteristics, severity of liver disease, and the cost of liver transplantation
96	21401867	2011	Axelrod DA	Am J Transplant	The economic implications of broader sharing of liver allografts
97	21401874	2011	Kucirka LM	Am J Transplant	Risk of window period hepatitis-C infection in high infectious risk donors: systematic review and meta-analysis
98	21415830	2011	Kucirka LM	Curr Opin Organ Transplant	High infectious risk donors: what are the risks and when are they too high?
99	21443677	2011	Boyarsky BJ	Am J Transplant	Estimating the potential pool of HIV-infected deceased organ donors in the United States
100	21617118	2011	Grams ME	J Am Soc Nephrol	Trends in the timing of pre-emptive kidney transplantation
101	21784826	2011	Garonzik Wang JM	Clin J Am Soc Nephrol	Incompatible live-donor kidney transplantation in the United States: results of a national survey
102	21793744	2011	Montgomery RA	N Engl J Med	Desensitization in HLA-incompatible kidney recipients and survival
103	21794084	2011	Deshpande NA	Am J Transplant	Pregnancy outcomes in kidney transplant recipients: a systematic review and meta-analysis
104	21802805	2011	Hall EC	Am J Kidney Dis	Effect of eliminating priority points for HLA-B matching on racial disparities in kidney transplant rates
105	21828325	2011	Kucirka LM	JAMA	Association of race and age with survival among patients undergoing dialysis
106	21907843	2011	Zenilman ME	Curr Probl Surg	New developments in geriatric surgery
107	21940839	2011	Van Arendonk KJ	Clin J Am Soc Nephrol	Late graft loss among pediatric recipients of DCD kidneys
108	22034505	2011	Berger JC	Clin J Am Soc Nephrol	Living kidney donors ages 70 and older: recipient and donor outcomes
109	22053930	2011	Gentry SE	Am J Transplant	The honeymoon phase and studies of nonsimultaneous chains in kidney-paired donation
110	22054039	2011	Living Kidney Donor Follow-Up Conference Writing Group	Am J Transplant	Living kidney donor follow-up: state-of-the-art and future directions, conference summary and recommendations
111	22106317	2011	Lonze BE	Arch Surg	Outcomes of renal transplants from Centers for Disease Control and Prevention high-risk donors with prospective recipient viral testing: a single-center experience
112	22754414	2011	Kim S	HSS J	Nonanemic patients do not benefit from autologous blood donation before total knee replacement
113	22755420	2011	Gentry S	Clin Transpl	Living donor kidney exchange
114	21554396	2012	Ros RL	Clin Transplant	Patient attitudes toward CDC high infectious risk donor kidney transplantation: inferences from focus groups
115	21968525	2012	Boyarsky BJ	Transplantation	Potential limitations of presumed consent legislation
116	21992578	2012	Garonzik-Wang JM	Am J Transplant	The aggressive phenotype: center-level patterns in the utilization of suboptimal kidneys
117	22009384	2012	Nathan H	Cancer	National trends in surgical procedures for hepatocellular carcinoma: 1998-2008
118	22066793	2012	Maheshwari A	Clin Transplant	Outcomes of liver transplantation for glycogen storage disease: a matched-control study and a review of literature
119	22108193	2012	Muzaale AD	Gastroenterology	Estimates of early death, acute liver failure, and long-term mortality among live liver donors
120	22151011	2012	Kucirka LM	Am J Transplant	Disparities in provision of transplant information affect access to kidney transplantation
121	22176745	2012	Englesbe MJ	Am J Transplant	Time-trends in publication productivity of young transplant surgeons in the United States
122	22239290	2012	Grams ME	J Am Geriatr Soc	Candidacy for kidney transplantation of older adults
123	22275402	2012	Durand CM	J Infect Dis	HIV-1 DNA is detected in bone marrow populations containing CD4+ T cells but is not found in purified CD34+ hematopoietic progenitor cells in most patients on antiretroviral therapy
124	22283924	2012	Shah S	Transpl Infect Dis	Chryseobacterium indologenes subcutaneous port-related bacteremia in a liver transplant patient
125	22290268	2012	Montgomery JR	Transplantation	Outcomes of ABO-incompatible kidney transplantation in the United States
126	22344967	2012	Deshpande NA	Liver Transpl	Pregnancy outcomes of liver transplant recipients: a systematic review and meta-analysis
127	22351919	2012	Garonzik-Wang JM	Arch Surg	Frailty and delayed graft function in kidney transplant recipients
128	22370021	2012	Hall EC	Am J Kidney Dis	Center-level factors and racial disparities in living donor kidney transplantation
129	22404601	2012	Segev DL	Clin Transplant	Willingness of the United States general public to participate in kidney paired donation
130	22450438	2012	Schold JD	Nat Rev Nephrol	Increasing the pool of deceased donor organs for kidney transplantation
131	22461037	2012	Garonzik-Wang JM	Transplantation	Live donor champion: finding live kidney donors by separating the advocate from the patient
132	22549232	2012	Segev DL	Nat Rev Nephrol	Innovative strategies in living donor kidney transplantation
133	22560841	2012	Kucirka LM	Am J Kidney Dis	Impact of donor hepatitis C virus infection status on death and need for liver transplant in hepatitis C virus-positive kidney transplant recipients
134	22563648	2012	Shaw TM	Clin Transplant	Operative start times and complications after kidney transplantation
135	22672201	2012	Sun Q	Transpl Infect Dis	Pre-transplant myeloid dendritic cell deficiency associated with cytomegalovirus infection and death after kidney transplantation
136	22703559	2012	Ross LF	Am J Transplant	Equal Opportunity Supplemented by Fair Innings: equity and efficiency in allocating deceased donor kidneys
137	22732046	2012	Gentry SE	Adv Chronic Kidney Dis	Controversies in kidney paired donation
138	22735712	2012	Alachkar N	Transplantation	Infusion of high-dose intravenous immunoglobulin fails to lower the strength of human leukocyte antigen antibodies in highly sensitized patients
139	22790073	2012	Montgomery RA	Curr Opin Organ Transplant	HLA incompatible renal transplantation
140	22878067	2012	Taylor LA	Prog Transplant	Living kidney donors and their family caregivers: developing an evidence-based educational and social support website
141	22883444	2012	Balhara KS	Am J Transplant	Disparities in provision of transplant education by profit status of the dialysis center
142	22932116	2012	Grams ME	Transplantation	Recipient age and time spent hospitalized in the year before and after kidney transplantation
143	22958872	2012	Abecassis M	Am J Transplant	Solid-organ transplantation in older adults: current status and future research
144	23016838	2012	McAdams-Demarco MA	Am J Transplant	Early hospital readmission after kidney transplantation: patient and center-level associations
145	23057455	2012	McAdams-Demarco MA	J Am Geriatr Soc	Activity of daily living disability and dialysis mortality: better prediction using metrics of aging
146	23096176	2012	Chu LC	AJR Am J Roentgenol	Role of MDCT angiography in selection and presurgical planning of potential renal donors
147	23157207	2012	Smith JM	Am J Transplant	Kidney, pancreas and liver allocation and distribution in the United States
148	23256409	2012	Henderson ML	J Clin Ethics	Providing more reasons for individuals to register as organ donors
149	23250334	2013	Dzebisashvili N	Transplantation	Following the organ supply: assessing the benefit of inter-DSA travel in liver transplantation
150	23279681	2013	Schold JD	Am J Transplant	The association of center performance evaluations and kidney transplant volume in the United States
151	23331953	2013	Hall EC	Am J Transplant	Racial/ethnic differences in cancer risk after kidney transplantation
152	23371953	2013	Grams ME	Clin J Am Soc Nephrol	Preemptive deceased donor kidney transplantation: considerations of equity and utility
153	23385862	2013	Durand CM	Curr Opin Oncol	Hematopoietic stem cell transplantation in HIV-1-infected individuals: clinical challenges and the potential for viral eradication
154	23398969	2013	Melcher ML	Am J Transplant	Dynamic challenges inhibiting optimal adoption of kidney paired donation: findings of a consensus conference
155	23399028	2013	Grams ME	Am J Transplant	Trends in the inactive kidney transplant waitlist and implications for candidate survival
156	23414232	2013	Garonzik-Wang JM	Am J Transplant	The aggressive phenotype revisited: utilization of higher-risk liver allografts
157	23430210	2013	Van Arendonk KJ	Clin J Am Soc Nephrol	Age at graft loss after pediatric kidney transplantation: exploring the high-risk age window
158	23432974	2013	Neofytos D	Transpl Infect Dis	Epidemiology, outcomes, and mortality predictors of invasive mold infections among transplant recipients: a 10-year, single-center experience
159	23447420	2013	Gentry SE	Liver Transpl	Fast-tracking and fairness: getting organ offers quickly to candidates who will accept them
160	23463990	2013	Massie AB	Am J Transplant	Center-level utilization of kidney paired donation
161	23531054	2013	Lentine KL	Transpl Int	Health outcomes among non-Caucasian living kidney donors: knowns and unknowns
162	23549198	2013	Van Arendonk KJ	Transplantation	Practice patterns and outcomes in retransplantation among pediatric kidney transplant recipients
163	23559438	2013	Hall EC	Cancer	Cumulative incidence of cancer after solid organ transplantation
164	23601095	2013	Blumberg EA	Am J Transplant	Optimal testing of the live organ donor for blood-borne viral pathogens: the report of a consensus conference
165	23621162	2013	Chow EK	Am J Transplant	Identifying appropriate recipients for CDC infectious risk donor kidneys
166	23649019	2013	Singer AL	Nat Rev Nephrol	Transplantation: Alloantibodies in simultaneous liver-kidney transplantation
167	23711111	2013	McAdams-DeMarco MA	J Am Geriatr Soc	Frailty as a novel predictor of mortality and hospitalization in individuals of all ages undergoing hemodialysis
168	23731461	2013	McAdams-DeMarco MA	Am J Transplant	Frailty and early hospital readmission after kidney transplantation
169	23777475	2013	Cameron AM	Am J Transplant	Social media and organ donor registration: the Facebook effect
170	23792504	2013	Gulsen MT	Ann Transplant	HTK preservative solution is associated with increased biliary complications among patients receiving DCD liver transplants: a single center experience
171	23799426	2013	Hall EC	Transplantation	Cancer risk after ABO-incompatible living-donor kidney transplantation
172	23813134	2013	Tabibian JH	Ann Hepatol	Sirolimus based immunosuppression is associated with need for early repeat therapeutic ERCP in liver transplant patients with anastomotic biliary stricture
173	23837931	2013	Gentry SE	Am J Transplant	Addressing geographic disparities in liver transplantation through redistricting
174	23845618	2013	Van Arendonk KJ	J Pediatr Surg	Living unrelated renal transplantation: a good match for the pediatric candidate?
175	23890285	2013	Massie AB	Am J Transplant	Rates of false flagging due to statistical artifact in CMS evaluations of transplant programs: results of a stochastic simulation
176	23956167	2013	Durand CM	Clin Infect Dis	Detection of cytomegalovirus DNA in plasma as an adjunct diagnostic for gastrointestinal tract disease in kidney and liver transplant recipients
177	24002689	2013	Van Arendonk KJ	Transplantation	Order of donor type in pediatric kidney transplant recipients requiring retransplantation
178	24071650	2013	Lentine KL	Clin J Am Soc Nephrol	Better understanding live donor risk through big data
179	24100847	2013	Garonzik-Wang JM	Transplantation	International kidney paired donation
180	24131569	2013	McAdams-DeMarco MA	BMC Nephrol	Frailty and falls among adult patients undergoing chronic hemodialysis: a prospective cohort study
181	24162248	2014	Locke JE	Transplantation	Immunosuppression regimen and the risk of acute rejection in HIV-infected kidney transplant recipients
182	24165015	2014	Axelrod DA	Am J Transplant	Assessing variation in the costs of care among patients awaiting liver transplantation
183	24192712	2014	Lentine KL	Transplantation	Consistency of racial variation in medical outcomes among publicly and privately insured living kidney donors
184	24400968	2014	Lonze BE	Am J Transplant	Eculizumab prevents recurrent antiphospholipid antibody syndrome and enables successful renal transplantation
185	24447652	2014	McAdams-Demarco MA	Am J Transplant	Sequelae of early hospital readmission after kidney transplantation
186	24452612	2014	Hall EC	JAMA Surg	Perioperative complications after live-donor hepatectomy
187	24478266	2014	Axelrod DA	Liver Transpl	National assessment of early biliary complications following liver transplantation: incidence and outcomes
188	24480655	2014	Locke JE	Am J Kidney Dis	Is there a role for detection of complement-binding antibodies in kidney transplantation?
189	24519297	2014	Muzaale AD	JAMA	Risk of end-stage renal disease following live kidney donation
190	24521779	2014	Sharif A	Transplantation	Histologic phenotype on 1-year posttransplantation biopsy and allograft survival in HLA-incompatible kidney transplants
191	24616363	2014	Van Arendonk KJ	Pediatrics	National trends over 25 years in pediatric kidney transplant outcomes
192	24673146	2014	Gupta N	Clin Transplant	Assessment of resident and fellow knowledge of the organ donor referral process
193	24801541	2014	Salter ML	J Am Geriatr Soc	Age and sex disparities in discussions about kidney transplantation in adults undergoing dialysis
194	24837542	2014	Gupta N	Transplantation	Actual and perceived knowledge of kidney transplantation and the pursuit of a live donor
195	24913913	2014	Orandi BJ	Am J Transplant	Quantifying the risk of incompatible kidney transplantation: a multicenter study
196	24933253	2014	Locke JE	Transplantation	The authors' reply
197	24963818	2014	Chen P	Transpl Int	Blood dendritic cell levels associated with impaired IL-12 production and T-cell deficiency in patients with kidney disease: implications for post-transplant viral infections
198	24975028	2014	Gentry SE	Liver Transpl	Impact of broader sharing on the transport time for deceased donor livers
199	24978035	2014	Lentine KL	Transplantation	Early clinical complications after ABO-incompatible live-donor kidney transplantation: a national study of Medicare-insured recipients
200	25005264	2014	Cooper MA	BMJ	Hospital level under-utilization of minimally invasive surgery in the United States: retrospective review
201	25040084	2014	Massie AB	Am J Transplant	Big data in organ transplantation: registries and administrative claims
202	25041695	2014	Boyarsky BJ	Am J Transplant	Experiences obtaining insurance after live kidney donation
203	25058226	2014	Muzaale AD	JAMA	Kidney donation and risk of ESRD--reply
204	25058228	2014	Massie AB	JAMA	Outcomes after kidney donation
205	25116729	2014	Nelson GE	Clin Infect Dis	A 70-year-old kidney transplant recipient presenting with persistent leg cellulitis
206	25119126	2014	Axelrod DA	Transplantation	National assessment of early biliary complications after liver transplantation: economic implications
207	25121475	2014	Orandi BJ	Transplantation	Eculizumab and splenectomy as salvage therapy for severe antibody-mediated rejection after HLA-incompatible kidney transplantation
208	25139729	2014	Massie AB	Am J Transplant	Survival benefit of primary deceased donor transplantation with high-KDPI kidneys
209	25168028	2014	Salter ML	J Am Soc Nephrol	Patient- and provider-reported information about transplantation and subsequent waitlisting
210	25196154	2014	Lentine KL	Am J Nephrol	Understanding antihypertensive medication use after living kidney donation through linked national registry and pharmacy claims data
211	25212908	2014	Salter ML	Clin J Am Soc Nephrol	Health-related and psychosocial concerns about transplantation among patients initiating dialysis
212	25307038	2014	Buccini LD	Am J Transplant	Association between liver transplant center performance evaluations and transplant volume
213	25439325	2014	McAdams-DeMarco MA	J Am Geriatr Soc	Trends in kidney transplant outcomes in older adults
214	25054778	2015	Jackson AM	Kidney Int	A closer look at rituximab induction on HLA antibody rebound following HLA-incompatible kidney transplantation
215	25312804	2015	Berli JU	Clin Transplant	Surgical management of early and late ureteral complications after renal transplantation: techniques and outcomes
216	25340595	2015	Hall EC	Transplantation	Association of antibody induction immunosuppression with cancer after kidney transplantation
217	25340600	2015	Orandi BJ	Transplantation	Center-level variation in the development of delayed graft function after deceased donor kidney transplantation
218	25359393	2015	McAdams-DeMarco MA	Am J Transplant	Frailty and mortality in kidney transplant recipients
219	25390288	2015	Latt NL	Minerva Gastroenterol Dietol	Management of hepatitis C infection among patients with renal failure
220	25393156	2015	McAdams-DeMarco MA	Transplantation	Frailty, mycophenolate reduction, and graft loss in kidney transplant recipients
221	25395390	2015	Jing J	Nephrol Dial Transplant	Prevalence and correlates of gout in a large cohort of patients with chronic kidney disease: the German Chronic Kidney Disease (GCKD) study
222	25397608	2015	Garg AX	N Engl J Med	Gestational hypertension and preeclampsia in living kidney donors
223	25467649	2015	Christenson ES	Lancet Infect Dis	Pasteurella multocida infection in solid organ transplantation
224	25522018	2015	Yanik EL	Am J Transplant	Sirolimus use and cancer incidence among US kidney transplant recipients
225	25534447	2015	Axelrod DA	Am J Transplant	Variation in biliary complication rates following liver transplantation: implications for cost and outcome
226	25556648	2015	Gentry SE	Liver Transpl	Liver sharing and organ procurement organization performance
227	25611786	2015	Orandi BJ	Am J Transplant	Quantifying renal allograft loss following early antibody-mediated rejection
228	25612497	2015	Van Arendonk KJ	Am J Transplant	"Loss of pediatric kidney grafts during the ""high-risk age window"": insights from pediatric liver and simultaneous liver-kidney recipients"
229	25635038	2015	Locke JE	Clin J Am Soc Nephrol	Identification of strategies to facilitate organ donation among African Americans using the nominal group technique
230	25648884	2015	LaPointe Rudow D	Am J Transplant	Consensus conference on best practices in live kidney donation: recommendations to optimize education, access, and care
231	25693474	2015	Massie AB	Am J Transplant	Early changes in liver distribution following implementation of Share 35
232	25738981	2015	Malas MB	JAMA Surg	Trends in incident hemodialysis access and mortality
233	25762287	2015	Massie AB	Liver Transpl	Higher Mortality in registrants with sudden model for end-stage liver disease increase: Disadvantaged by the current allocation policy
234	25807207	2015	Xu T	JAMA Surg	Hospital cost implications of increased use of minimally invasive surgery
235	25833728	2015	Fisher JS	Am J Transplant	Between Scylla and Charybdis: charting an ethical course for research into financial incentives for living kidney donation
236	25881073	2015	Salter ML	BMC Nephrol	Perceptions about hemodialysis and transplantation among African American adults with end-stage renal disease: inferences from focus groups
237	25896309	2015	Lam NN	Am J Nephrol	Gout after living kidney donation: correlations with demographic traits and renal complications
238	25903561	2015	Salter ML	BMC Geriatr	Perceived frailty and measured frailty among adults undergoing hemodialysis: a cross-sectional analysis
239	25990089	2015	Gentry SE	Liver Transpl	Liver sharing and organ procurement organization performance under redistricted allocation
240	26006192	2015	Araz F	Turk J Gastroenterol	New modalities in the treatment of HCV in pre and post - transplantation setting
241	26059180	2015	Pilie P	Transpl Infect Dis	Adult patients with respiratory syncytial virus infection: impact of solid organ and hematopoietic stem cell transplantation on outcomes
242	26227016	2015	Lentine KL	Clin Transplant	Gender differences in use of prescription narcotic medications among living kidney donors
243	26359787	2015	Wang CW	Liver Transpl	Functional impairment in older liver transplantation candidates: From the functional assessment in liver transplantation study
244	26573615	2015	McAdams-DeMarco MA	Clin J Am Soc Nephrol	Frailty and Cognitive Function in Incident Hemodialysis Patients
245	26640901	2015	Ofosu A	Exp Clin Transplant	Implications of Treating Hepatitis C Virus Infection Among Patients Awaiting Cadaveric Liver Transplant: A Single-Center Experience
246	26563524	2016	Naik AS	Transpl Int	Clinical and economic consequences of first-year urinary tract infections, sepsis, and pneumonia in contemporary kidney transplantation practice
247	26779694	2016	Gentry SE	Am J Transplant	The Impact of Redistricting Proposals on Health Care Expenditures for Liver Transplant Candidates and Recipients
248	26784951	2016	Yanik EL	Liver Transpl	Effects of maintenance immunosuppression with sirolimus after liver transplant for hepatocellular carcinoma
249	26890629	2016	Fontana RJ	Liver Transpl	Daclatasvir combined with sofosbuvir or simeprevir in liver transplant recipients with severe recurrent hepatitis C infection
250	26891750	2016	Baer AN	BMC Musculoskelet Disord	Dual-energy computed tomography has limited sensitivity for non-tophaceous gout: a comparison study with tophaceous gout
251	26901466	2016	Axelrod DA	Am J Transplant	National Variation in Use of Immunosuppression for Kidney Transplantation: A Call for Evidence-Based Regimen Selection
252	26913379	2016	Chen PH	Clin Transplant	Effect of prior hepatitis B virus exposure on long-term risk of liver-related events after liver transplantation
